,Borough,Block,Lot,CD,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthCenterDistrict,HealthArea,SanitBoro,SanitDistrict,SanitSub,Address,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,SPDist3,LtdHeight,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,YearAlter1,YearAlter2,HistDist,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,FIRM07_Flag,PFIRM15_Flag,Version,FullAddress,Accuracy,Formatted_address,Google_place_id,Latitude,Longitude,Number_of_results,Postcode,Status,Type
0,MN,7,7501,101,9,1016,2,1,10004,L015,1,15,7700,1,1,,1 COENTIES SLIP,C5-5,,,,,,LM,,,,N,RM,4,0,,66 PEARL STREET LLC,7780,44097,11254,32843,0,7200,0,4054,0,0,2,1,6,42,43,106,74.42,106,36,,0,Y,5,5,1741500,6422400,0,0,1880,0,0,,,5.67,10,15,15,1,1000077501,735,9,981261,195554,12b,,101S002,10101,,1000070023,1990-12-12 00:00:00,1,1,1,18V1,"1 COENTIES SLIP, NEW YORK, NY 10004 UNITED STATES",RANGE_INTERPOLATED,"1 Coenties Slip, New York, NY 10004, USA",EigxIENvZW50aWVzIFNsaXAsIE5ldyBZb3JrLCBOWSAxMDAwNCwgVVNBIhoSGAoUChIJASfqOBRawokRdiMmMTDkl_gQAQ,40.7034874,-74.010944,1,10004,OK,street_address
1,MN,7,7502,101,9,1016,2,1,10004,L015,1,15,7700,1,1,,32 WATER STREET,C5-5,,,,,,LM,,,,N,RM,4,0,,,3095,14894,5087,9807,0,5087,0,0,0,0,2,1,4.5,1,2,29.42,106.58,30,107,,0,Y,4,5,399465,1749599,0,3600,1920,1996,0,,INDIVIDUAL LANDMARK,4.81,10,15,15,1,1000077502,1695,9,981212,195537,12b,,101S002,10101,,1000070026,2007-06-08 00:00:00,1,1,1,18V1,"32 WATER STREET, NEW YORK, NY 10004 UNITED STATES",ROOFTOP,"32 Water St, New York, NY 10004, USA",ChIJDcaAahRawokRQN_cMVUZxzQ,40.7033223,-74.0109391,1,10004,OK,premise
2,MN,8,7501,101,9,1014,2,1,10004,L015,1,15,7700,1,1,,39 WHITEHALL STREET,C5-5,,,,,,LM,,,,N,RM,4,0,,NEW YORK PLAZA RESIDE,9053,169061,42641,126420,0,42641,0,0,0,0,2,1,19,97,98,108,91.58,106,91,,1,Y,0,5,3528000,18163350,0,7238620,1985,2007,2007,,,18.67,10,15,15,1,1000087501,1822,9,980734,195375,12b,,101S001,10101,,1000080032,2008-01-09 00:00:00,1,1,1,18V1,"39 WHITEHALL STREET, NEW YORK, NY 10004 UNITED STATES",ROOFTOP,"39 Whitehall St, New York, NY 10004, USA",ChIJR3NhhhNawokRBDqDEZtjQes,40.7029868,-74.0127983,1,10004,OK,premise
3,MN,11,14,101,9,1004,2,1,10004,L015,1,15,7700,1,1,1B,26 BEAVER STREET,C5-5,,,,,,LM,,,,N,D4,3,0,,BEAVER TOWERS INC,2907,51387,2300,49087,0,2300,0,0,0,0,2,1,19,20,21,53.46,56.33,53,56,,3,Y,4,2,760500,5124600,58800,58800,1909,1989,0,,,17.68,10,15,15,1,1000110014,0,9,980926,196059,12b,,101S001,10101,,0,,1,,1,18V1,"26 BEAVER STREET, NEW YORK, NY 10004 UNITED STATES",ROOFTOP,"26 Beaver St, New York, NY 10004, USA",ChIJe_sLAhRawokRR2ilwQXPU2Q,40.7047853,-74.0119949,1,10004,OK,premise
4,MN,11,7501,101,9,1003,2,1,10004,L015,1,15,7700,1,1,,15 STONE STREET,C5-5,,,,,,LM,,,,N,RM,4,0,,,2242,9132,3671,5461,0,3671,0,0,0,0,2,1,5,3,4,25.4,91.4,25,0,,0,N,0,5,104603,1024330,0,162000,1900,2006,0,,,4.07,10,15,15,1,1000117501,2099,9,980899,195838,12b,,11S 001,10101,,1000110027,2010-01-21 00:00:00,1,1,1,18V1,"15 STONE STREET, NEW YORK, NY 10004 UNITED STATES",ROOFTOP,"15 Stone St, New York, NY 10004, USA",ChIJYRu-CBRawokRHA54tP0AUKo,40.7041754,-74.0121212,1,10004,OK,premise
5,MN,15,7501,101,13,2005,2,1,10004,E010,1,15,7700,1,1,,17 BATTERY PLACE,C5-5,,,,,,LM,,,,N,RM,4,0,P,17 BATTERY PLACE COND,64633,1202417,756035,446382,756035,0,0,0,0,0,2,2,31,500,623,180.67,363.96,0,0,,0,Y,0,5,15867000,112545900,2640126,9179303,1902,1998,0,,INDIVIDUAL LANDMARK,18.6,10,15,15,1,1000157501,1025,13,979859,196346,12b,,11S 003,10101,,1000150001,1998-12-29 00:00:00,1,1,1,18V1,"17 BATTERY PLACE, NEW YORK, NY 10004 UNITED STATES",ROOFTOP,"1013, 17 Battery Pl, New York, NY 10004, USA",ChIJzWMbLxJawokR3jhV3SHLBQc,40.7051704,-74.0159694,1,10004,OK,street_address
6,MN,15,7502,101,13,2005,2,1,10004,E010,1,15,7700,1,1,,20 WEST STREET,C5-5,,,,,,LM,,,,N,RM,4,0,,THE DOWNTOWN CLUB CON,13928,179856,10000,169856,0,10000,0,0,0,0,2,1,45,283,284,78.67,179.58,76.67,179.58,,0,Y,0,5,3150000,31561208,0,6286955,1930,2004,0,,INDIVIDUAL LANDMARK,12.91,10,15,15,1,1000157502,1557,13,979922,196558,12b,,11S 003,10101,,1000150019,2006-05-19 00:00:00,1,1,1,18V1,"20 WEST STREET, NEW YORK, NY 10004 UNITED STATES",ROOFTOP,"20 West St, New York, NY 10004, USA",ChIJ_8yemxFawokRhuWyplv9Exs,40.7061688,-74.015767,1,10004,OK,street_address
7,MN,16,7501,101,317.04,2000,2,1,10280,E010,1,15,8900,1,1,,377 RECTOR PLACE,BPC,,,,,,BPC,,,,N,RM,4,0,X,LIBERTY HOUSE CONDOMI,16951,179174,1092,177488,0,1092,0,0,0,0,2,1,25,238,239,133,122.44,0,0,,0,Y,5,5,5089051,29858403,5089051,29858403,1985,0,0,,,10.57,0,0,0,1,1000167501,308,31704,979290,197895,12b,,101S090,10101,,1000160090,1986-12-25 00:00:00,1,1,1,18V1,"377 RECTOR PLACE, NEW YORK, NY 10280 UNITED STATES",ROOFTOP,"377 Rector Pl, New York, NY 10280, USA",ChIJDV7UERBawokRazSXVLLKCdc,40.7101187,-74.017305,1,10280,OK,premise
8,MN,16,7502,101,317.04,2000,2,1,10280,E010,1,15,8900,1,1,,350 ALBANY STREET,BPC,,,,,,BPC,,,,N,R4,3,0,P,HUDSON TOWER,27838,123284,11136,112148,0,0,10690,0,0,446,2,1,15,133,133,287.38,100.5,287,100,,0,Y,5,5,3560403,19260459,3560403,19260459,1986,0,0,,,4.43,0,0,0,1,1000167502,313,31704,979379,197988,12b,,101S090,10101,,1000160095,1986-12-25 00:00:00,1,1,1,18V1,"350 ALBANY STREET, NEW YORK, NY 10280 UNITED STATES",ROOFTOP,"350 Albany St, New York, NY 10280, USA",ChIJawC1BRBawokRBTEArm-_NQQ,40.7101846,-74.0176786,1,10280,OK,street_address
9,MN,16,7503,101,317.04,3000,2,1,10280,E010,1,15,8900,1,1,,250 SOUTH END AVENUE,BPC,,,,,,BPC,,,,N,RM,4,0,X,HUDSON VIEW E CONDOMI,12644,86763,1052,85711,1052,0,0,0,0,0,2,1,17,109,110,121.83,103.78,0,0,,0,N,5,5,2550153,13981947,2550153,13981947,1985,0,0,,,6.86,0,0,0,1,1000167503,385,31704,979775,197857,12b,,101S090,10101,,1000160075,1987-11-30 00:00:00,1,,,18V1,"250 SOUTH END AVENUE, NEW YORK, NY 10280 UNITED STATES",ROOFTOP,"250 South End Ave, New York, NY 10280, USA",ChIJszRscBBawokR_u-Wcm-X-q4,40.709846,-74.016115,1,10280,OK,street_address
